objective_id,scenario_id,label,category,corecurriculum_index,corecurriculum_ids,external_standard
WLF-OBS-01,welfare_abuse_v1,住環境の観察からリスクサインを検出し記録する,observation,GE-03-01-03;CS-02-01-01,Jkxpst4;Jkxiru8,児童虐待防止法第5条（早期発見義務）
WLF-OBS-02,welfare_abuse_v1,観察された事実と自身の解釈を区別して記述する,observation,CS-02-01-01,Jkxiru8,子ども家庭支援・アセスメント指針
WLF-INT-01,welfare_abuse_v1,防衛的な保護者の話を傾聴し感情を理解する,communication,CM-01-02-02,JkxhhWA,子ども家庭支援・アセスメント指針
WLF-INT-02,welfare_abuse_v1,高圧的・審判的な態度を取らず配慮を維持する,communication,CM-01-02-01,JkxhhV4,子ども家庭支援・アセスメント指針
WLF-LAW-01,welfare_abuse_v1,児童福祉法第33条の一時保護要件該当性を判定する,decision,SO-01-03-05,JtPHo-Y,児童福祉法第33条 / 児童虐待防止法
WLF-ESC-01,welfare_abuse_v1,上司へ要点を絞って報告しエスカレーションする,escalation,CS-03-06-02,Jkxir5E,SBAR
WLF-SOC-01,welfare_abuse_v1,生活保護等の社会保障資源へ接続する,coordination,SO-01-02-01,JkxoNso,生活保護法
ACP-SET-01,acp_dialogue_v1,SPIKES-S 面談環境とプライバシーを設定する,communication,CM-01-02-01,JkxhhV4,SPIKES / ACP（人生会議）
ACP-PER-01,acp_dialogue_v1,SPIKES-P 患者の病状認識を確認する,communication,CS-01-01-02,Jkxirsg,SPIKES
ACP-INV-01,acp_dialogue_v1,SPIKES-I 知りたい情報量について同意を得る,communication,CM-02-03-02,JmiwFH8,SPIKES
ACP-KNW-01,acp_dialogue_v1,SPIKES-K 専門用語を避け段階的に情報提供する,communication,CM-02-03-03,JmiwFIA,SPIKES
ACP-EMP-01,acp_dialogue_v1,SPIKES-E 沈黙を遮らず感情に共感的に応答する,communication,CM-01-02-02,JkxhhWA,SPIKES / NURSE
ACP-STR-01,acp_dialogue_v1,SPIKES-S 患者と家族の合意形成を支援する,decision,CM-02-02-01,JkxhhWQ,ACP（人生会議）ガイドライン
